accountno,trans_date,ref_code,ref_no,amount,timestamp,tag,reading,consumption,sequence,custno
"1211201254",01/06/2025,"15","6996635",-1.00,/  /,"F",0,0,185002,1254
"0611202204",01/06/2025,"04","6994478",-2315.25,/  /,"W",0,0,185003,2204
"0611202204",01/06/2025,"15","6994478",-74.25,/  /,"F",0,0,185004,2204
"0611202204",01/06/2025,"57","6994478",100.00,/  /,"A",0,0,185005,2204
"0611202204",01/06/2025,"57","6994478",-100.00,/  /,"A",0,0,185006,2204
"0811200285",01/06/2025,"04","6996636",-2613.00,/  /,"W",0,0,185007,285
"0811200285",01/06/2025,"15","6996636",-47.25,/  /,"F",0,0,185008,285
"0611202204",01/06/2025,"75","2025-0000320",0.00,/  /,"O",1294,0,185008,2204
"0611202189",01/06/2025,"04","6994479",-249.00,/  /,"W",0,0,185010,2189
"0611202189",01/06/2025,"15","6994479",-8.00,/  /,"F",0,0,185011,2189
"1011200495",01/06/2025,"04","6994480",-75.00,/  /,"W",0,0,185012,495
"1011200495",01/06/2025,"15","6994480",-2.25,/  /,"F",0,0,185013,495
"1411201887",01/06/2025,"04","6994481",-114.00,/  /,"W",0,0,185014,1887
"1411201887",01/06/2025,"15","6994481",-2.00,/  /,"F",0,0,185015,1887
"1311202366",01/06/2025,"04","6994482",-150.00,/  /,"W",0,0,185016,2366
"1311202366",01/06/2025,"15","6994482",-1.00,/  /,"F",0,0,185017,2366
"1411201960",01/06/2025,"04","6994483",-237.50,/  /,"W",0,0,185018,1960
"1411201960",01/06/2025,"15","6994483",-17.00,/  /,"F",0,0,185019,1960
"1311200920",01/06/2025,"04","6994484",-75.00,/  /,"W",0,0,185020,920
"1211201236",01/06/2025,"04","6994485",-75.00,/  /,"W",0,0,185021,1236
"1211201236",01/06/2025,"15","6994485",-1.75,/  /,"F",0,0,185022,1236
"1411202058",01/06/2025,"04","6994486",-345.00,/  /,"W",0,0,185023,2058
"1411202058",01/06/2025,"15","6994486",-7.75,/  /,"F",0,0,185024,2058
"0211200064",01/06/2025,"04","6994487",-262.50,/  /,"W",0,0,185025,64
"0211200064",01/06/2025,"15","6994487",-6.25,/  /,"F",0,0,185026,64
"0711200874",01/06/2025,"04","6994488",-220.00,/  /,"W",0,0,185027,874
"0711200873",01/06/2025,"04","6994489",-75.00,/  /,"W",0,0,185028,873
"1111201794",01/06/2025,"04","6994490",-294.00,/  /,"W",0,0,185029,1794
"1111201794",01/06/2025,"15","6994490",-8.25,/  /,"F",0,0,185030,1794
"0911201400",01/06/2025,"04","6996637",-262.50,/  /,"W",0,0,185031,1400
"0911201400",01/06/2025,"15","6996637",-6.25,/  /,"F",0,0,185032,1400
"0611202205",01/06/2025,"04","6996638",-75.00,/  /,"W",0,0,185033,2205
"0611202205",01/06/2025,"15","6996638",-1.00,/  /,"F",0,0,185034,2205
